Latitude,Longitude,DateObserved,StateCode,ReportingArea,ParameterName,AQI
48.3,-124.6263,2017-09-11 ,WA,Cheeka Peak,OZONE,31
48.3,-124.6263,2017-09-11 ,WA,Cheeka Peak,PM2.5,10
40.4555,-109.5288,2017-09-11 ,UT,Vernal,OZONE,50
40.4555,-109.5288,2017-09-11 ,UT,Vernal,PM2.5,21
36.53,-87.36,2017-09-11 ,TN,Clarksville-Montgomery County,OZONE,29
36.53,-87.36,2017-09-11 ,TN,Clarksville-Montgomery County,PM2.5,16
34.6,-98.423,2017-09-11 ,OK,Lawton,OZONE,58
34.6,-98.423,2017-09-11 ,OK,Lawton,PM2.5,44
47.0485,-109.4553,2017-09-11 ,MT,Lewistown,OZONE,42
47.0485,-109.4553,2017-09-11 ,MT,Lewistown,PM2.5,70
47.0485,-109.4553,2017-09-11 ,MT,Lewistown,PM10,27
48.1528,-103.6396,2017-09-11 ,ND,Williston,OZONE,42
48.1528,-103.6396,2017-09-11 ,ND,Williston,PM2.5,53
48.1528,-103.6396,2017-09-11 ,ND,Williston,PM10,40
41.631,-87.087,2017-09-11 ,IN,Hammond-Gary,OZONE,40
41.631,-87.087,2017-09-11 ,IN,Hammond-Gary,PM2.5,22
41.631,-87.087,2017-09-11 ,IN,Hammond-Gary,PM10,17
41.095,-85.1,2017-09-11 ,IN,Fort Wayne,OZONE,30
41.095,-85.1,2017-09-11 ,IN,Fort Wayne,PM2.5,11
36.1796,-94.1166,2017-09-11 ,AR,Springdale (Springdale-Fayetteville-Bentonville),OZONE,54
36.1796,-94.1166,2017-09-11 ,AR,Springdale (Springdale-Fayetteville-Bentonville),PM2.5,48
45.55,-94.1333,2017-09-11 ,MN,St. Cloud,OZONE,41
45.55,-94.1333,2017-09-11 ,MN,St. Cloud,PM2.5,41
