Latitude,"City, State",Longitude,User Ratings
38.8903961,"Arlington, VA",-77.0841585,2
27.7703796,"St Petersburg, FL",-82.6695085,2
40.6914852,"Jamaica, NY",-73.8056771,3
37.7792768,"San Francisco, CA",-122.4192704,3
39.9622601,"Columbus, OH",-83.0007065,2
a,"Dallas, TX",-96.7968558,3
38.9786401,"Annapolis, MD",-76.492786,4
34.1362075,"Arcadia, CA",-118.0401497,4
30.3321838,"Jacksonville, FL",-81.655651,5
38.8051095,"Alexandria, VA",-77.0470229,4
37.3361905,"San Jose, CA",-121.8905833,3
40.7735431,"Manhattan, NY",-73.9587337,4
34.053717,"Los Angeles, CA",-118.2427266,2
38.8949549,"Washington, DC",-77.0366456,5
41.8239891,"Providence, RI",-71.4128343,5
37.6090291,"Alameda, CA",-121.899142,4
33.9562149,"Lawrenceville, GA",-83.9879625,4
37.7884969,"Bay Area, CA",-122.3558473,5
42.4605917,"Ferndale, MI",-83.1346478,5
38.3031837,"Fredericksburg, VA",-77.4605399,3
34.2011156,"Canoga Park, CA",-118.5981424,5
40.7902778,"Manhattan, NY",-73.9597222,5
35.9940329,"Durham, NC",-78.898619,5
40.5834557,"Staten Island, NY",-74.1496048,5
32.7174209,"San Diego, CA",-117.1627714,4
38.8895563,"Capitol Hill/Northeast, Washington DC",-77.0094206,4
34.2285918,"Northridge, CA",-118.5369316,5
33.7490987,"Atlanta, GA",-84.3901849,5
29.4246002,"San Antonio, TX",-98.4951405,5
42.8864468,"Buffalo, NY",-78.8783689,2
38.8462236,"Fairfax, VA",-77.3063733,5
26.1223084,"Fort Lauderdale, FL",-80.1433786,4
40.4416941,"Pittsburgh, PA",-79.9900861,3
41.8755546,"A, A",-87.6244212,5
29.7589382,"Houston, TX",-95.3676974,5
39.0180453,"Potomac, MD",-77.2089055,5
41.6803915,"New Britain, CT",-72.78827729,4
32.4315813,"Beaufort, SC",-80.6698286,4
38.8654418,"Anacostia, Washington DC",-76.9842531,4
49.2608944,"Vancouver, Canada",b,5
33.7774658,"Long Beach, CA",-118.1884871,5
30.2711286,"Austin, TX",-97.7436995,5
25.0657658,"Highland Park, IL",-77.37495599,5
38.95325,"Hyattsville, MD",-76.9408522,5
42.3317642,"Brookline, MA",-71.1211635,5
,"Torrey Pines, San Diego, CA",,5
42.3604823,"Boston, MA",-71.0595678,5
39.9483182,"Drexel Hill, PA",-75.30688625,5
40.8270448,"Edgewater, NJ",-73.975694,5
37.3541132,"Santa Clara, CA",-121.9551744,4
40.5140894,"Herriman, UT",-112.0328198,5
40.7684331,"Hicksville, NY",-73.5251253,5
35.7804015,"Raleigh, NC",-78.6390779,5
38.9312222,"Wesley Heights, Washington, DC",-77.0880336,5
34.0715385,"Redlands, CA",-117.1209933,5
38.7073406,"North Beach, MD",-76.5310669,5
42.3554344,"Allston, MA",-71.1321271,5
39.6852191,"Newark, DE",-75.7508289,4
34.0133561,"Chino, CA",-117.690075,5
38.3004029,"California, MD",-76.5074542,5
47.6144219,"Bellevue, WA",-122.1923372,5
41.118703,"Gretna, NE",-96.25659387,5
40.3492744,"Princeton, NJ",-74.6592958,4
42.1306554,"Avon, MA",-71.0411582,4
,"Ogontz Campus, PA",,4
28.5421175,"Orlando, FL",-81.3790462,5
38.029306,"Charlottesville, VA",-78.4766781,4
33.6856969,"Irvine, CA",-117.8259819,4
37.9063131,"Walnut Creek, CA",-122.064963,5
38.7890522,"Springfield, VA",-77.1870368,5
40.6652251,"Union, NJ",-74.3045277,5
42.3785931,"Cambridge, MA",-71.13171366,5
44.9772995,"Minneapolis, MN",-93.2654692,5
38.9051994,"Georgetown, Washington, DC",-77.062785,4
47.6038321,"Seattle, WA",-122.3300624,5
40.6339929,"Bay Ridge, Brooklyn, NY",-74.0145841,3
39.0017772,"Crofton, MD",-76.6874671,5
42.0447388,"Evanston, IL",-87.6930459,4
38.9848265,"Bethesda, MD",-77.0946459,5
51.5073219,"London, United Kingdom",-0.1276474,a
45.8907389,"Prince William, VA",-67.0122574,4
39.7683331,"Indianapolis, IN",-86.1583501,4
33.4467681,"Phoenix, AZ",-112.0756724,5
40.7305991,"New York, NY",-73.9865812,5
27.9477595,"Tampa, FL",-82.458444,4
26.7153425,"West Palm Beach, FL",-80.0533746,3
25.97591145,"Miramar, FL",-80.33472113,5
34.2031739,"WEST HILLS, CA",-118.6454659,4
41.4553232,"Westlake, OH",-81.9179174,4
29.6196787,"Sugar Land, TX",-95.6349463,5
39.952335,"Philadelphia, PA",-75.163789,5
40.7670126,"Salt Lake City, UT",-111.8904308,4
27.3364347,"Sarasota, FL",-82.5306527,4
33.9761238,"Rowland Heights, CA",-117.9053395,5
39.5287282,"Egg Harbor City, NJ",-74.6479364,5
29.8064555,"Baytown, TX",-94.96772026,5
33.9400143,"Downey, CA",-118.1325688,3
40.7612123,"East Elmhurst, NY",-73.8651358,5
38.6581723,"Woodbridge, VA",-77.2497049,5
33.8708215,"Fullerton, CA",-117.9294165,4
36.28678398,"CA, CA",-120.5074537,5
40.7654301,"FLUSHING, NY",-73.8174291,5
