Age,Gender,Impressions,Clicks,Signed_In
36,0,3,0,1
73,1,3,0,1
30,0,3,0,1
49,1,3,0,1
47,1,11,0,1
47,0,11,1,1
0,0,7,1,0
46,0,5,0,1
16,0,3,0,1
52,0,4,0,1
0,0,8,1,0
21,0,3,0,1
0,0,4,0,0
57,0,6,0,1
31,0,5,0,1
0,0,6,0,0
40,1,3,0,1
31,1,5,0,1
38,0,4,0,1
0,0,5,0,0
59,1,4,0,1
61,0,6,0,1
48,0,7,0,1
29,1,2,0,1
0,0,4,0,0
19,1,4,0,1
19,0,3,0,1
48,1,9,0,1
48,1,4,0,1
21,1,5,0,1
23,0,4,0,1
66,1,3,0,1
23,1,7,0,1
44,1,4,0,1
32,0,2,0,1
22,1,2,0,1
30,1,8,0,1
74,0,2,0,1
65,1,5,0,1
0,0,7,2,0
32,1,9,0,1
0,0,4,0,0
61,0,2,0,1
63,1,4,0,1
36,1,1,0,1
35,0,7,0,1
0,0,3,0,0
0,0,7,0,0
73,0,4,0,1
0,0,5,0,0
0,0,5,0,0
33,0,4,0,1
34,0,5,0,1
48,1,1,0,1
43,1,4,0,1
59,1,2,0,1
34,0,3,0,1
22,0,5,0,1
18,1,1,0,1
0,0,4,0,0
0,0,8,0,0
17,1,6,0,1
30,0,5,0,1
0,0,2,1,0
57,0,4,0,1
62,0,5,0,1
27,0,4,0,1
11,0,5,0,1
38,0,6,0,1
21,1,4,0,1
42,0,4,0,1
41,0,10,0,1
0,0,6,1,0
42,0,6,0,1
14,0,7,0,1
64,1,7,1,1
0,0,5,0,0
24,1,5,0,1
29,0,4,0,1
26,1,5,0,1
18,0,3,0,1
22,0,5,0,1
0,0,3,0,0
0,0,1,0,0
42,0,2,0,1
0,0,7,1,0
0,0,5,0,0
0,0,4,0,0
22,1,4,0,1
39,1,4,0,1
61,1,1,0,1
47,0,4,0,1
0,0,1,0,0
0,0,5,0,0
19,1,8,0,1
48,1,6,0,1
71,0,4,0,1
31,1,3,0,1
43,0,5,0,1
0,0,7,0,0
